Branch;WHSE;GRP;Code;Description;OH;OnSO;OnPO;AVGCost;Value;Stk Fctr B3 Max;LastGRVDate;LastTransDate;B3Max;GRP Sales;Branch#1;B#1OH;B#1Sales;Branch#2;B#2OH;B#2sales;Branch#3;B#3OH;B#3sales
Wadeville;Wad_MW;MB;MBTRBD5938;MB C/Suit Trouser D59 SABS Royal Blue S38/97  ;9;0;0;R172,44;R1 551,97;27,0;2023/02/06;2026/02/26;0,3;1,0;Polokwane;1;1;Wadeville;9;0;;;
Wadeville;Wad_MW;MB;MBLYJJ54REFP#50;MB C/Suit Jkt J54 Ladies Ref Tape Yellow S50/127  ;8;0;0;R192,00;R1 536,00;99,0;2020/07/31;2020/08/03;0,0;;;;;;;;;;
Wadeville;Wad_MW;CS;SOTJ54L50/127;C/Suit Trouser J54 Ladies S/Orr AGP S50/127 2402747;6;0;0;R256,00;R1 536,00;99,0;2024/02/01;2024/10/31;0,0;;;;;;;;;;
Wadeville;Wad_MW;BOOT;P72613208;Boot Cat Propane 2.0 NSTC Dark Brown S08;1;0;0;R1 530,00;R1 530,00;99,0;2025/06/25;2025/07/22;0,0;2,0;Polokwane;0;1;;;;;;
Wadeville;Wad_MW;BS;BSO38;B/Suit Orange S38/97;19;0;0;R80,00;R1 520,00;57,0;2024/12/09;2025/09/25;0,3;41,0;Bloemfontein;0;37;Tzaneen;0;3;Wadeville;0;1
Wadeville;Wad_MW;BOOT;FBB4000209;Safety Boot Bova Dakota STC Black S09  ;2;0;0;R759,81;R1 519,62;99,0;2022/04/07;2023/02/24;0,0;;;;;;;;;;
Wadeville;Wad_MW;BOOT;FBB4000210;Safety Boot Bova Dakota STC Black S10  ;2;0;0;R759,80;R1 519,61;99,0;2022/02/10;2022/05/12;0,0;;;;;;;;;;
Wadeville;Wad_MW;GLOV;TOG4B08;Glove Blk/Grn/Blue Sandy Nitrile Coated Cut 4 S08;11;0;0;R138,00;R1 518,00;99,0;2023/08/08;2023/08/10;0,0;3932,0;Polokwane;646;3792;Steelpoort;29;129;Vereeniging;0;11
Wadeville;Wad_MW;GLOV;59YSP-10;Glove TaeKi5 Grip & Cut 5 Resis Blue/White XL S10  Latex Palm Coated Cut 5 Seamless Knit Wrist ;28;0;0;R54,00;R1 512,00;99,0;2022/05/11;2024/08/06;0,0;141,0;Pretoria;1;120;Bloemfontein;89;20;Newcastle;0;1
Wadeville;Wad_MW;MB;MBCSCBC952;MB C/Suit Poly/Cotton C9 Cut 80/20 Brown S52/132;10;0;0;R150,95;R1 509,50;99,0;2025/03/19;;0,0;4,0;Tzaneen;18;4;;;;;;
Wadeville;Wad_MW;PC;KNEEPAD;Hard plastic knee wear pad, dual straps;20;0;0;R75,00;R1 500,00;99,0;2024/01/23;2022/07/22;0,0;42,0;White River;48;22;Pretoria;3;20;;;
