;;;;Sales Analysis;;;;;;;;
Pienaar Bros North (Pty) Ltd;;;;;;;;;;;;
From:;01/01/2026;;;;;;;;;;;
To:;02/04/2026;;;;;;;;;;;
Sales Analysis Report;;;;;;;;;;Page 1 of 489;;
Item/Account;Description/Name;;TxDate;InvNum;Account;Unit Cost;Unit SellP;Quantity;Amount;Line Cost;Profit;GP %
;;;;;;;;;;;;
Item/Account;Description/Name;;TxDate;InvNum;Account;Unit Cost;Unit SellP;Quantity;Amount;Line Cost;Profit;GP %
;;;;;;;;;;;;
M501;3M501 PreFilter Retainer 70071731957;;05/01/2026;010-INV179107;PROT005_TVL;10,92;14,00;100;1 355,00;1 092,00;263,00;19,41
VS-958GY;S/Spec Sportmax Sporty Grey/Smoke Lens H/C;;05/01/2026;010-INV179108;AFRI005_TVL;7,98;20,00;10;205,00;79,80;125,20;61,07
GRHHLL;Glove Household Rubber Yellow L S09;;05/01/2026;010-INV179109;UNIL003_TVL;5,06;10,00;692;6 643,20;3 501,52;3 141,68;47,29
FSBRAD09;Safety Shoe DOT Radon STC Black S09;;05/01/2026;010-INV179110;CASH_010_001;187;280,00;1;280,00;187,00;93,00;33,21
WRLZL;Reflective Vest EN4 Lime Zip & ID Pouch L;;05/01/2026;010-INV179110;CASH_010_001;22,95;35,00;1;35,00;22,95;12,05;34,43
MBGOCSG40;MB C/Suit Gold Range P/Cott 80/20 Grey S40/102;;05/01/2026;010-INV179110;CASH_010_001;152,25;250,00;1;250,00;152,25;97,75;39,10
M6200;3M6200 Facepiece Dual Medium XA007702658;;05/01/2026;010-INV179111;ONLI001_WAD;141,02;217,00;1;217,03;141,02;76,01;35,02
M5935;3M5935 PreFilter P3 20/Box TI551152356 Price Each;;05/01/2026;010-INV179111;ONLI001_WAD;22,64;35,00;20;696,60;452,80;243,80;35,00
M501;3M501 PreFilter Retainer 70071731957;;05/01/2026;010-INV179111;ONLI001_WAD;10,92;17,00;2;33,56;21,84;11,72;34,92
M6059;3M6059 ABEK1 Org/Inorg Vapour Acid Gas/Ammonia GT;;05/01/2026;010-INV179111;ONLI001_WAD;92,4;142,00;4;568,56;369,60;198,96;34,99
3301106/LL-30;Earplug H/Leight LaserLite Disp Corded SNR35dB;;05/01/2026;010-INV179112;ONLI001_WAD;4,03;6,00;100;628,00;403,00;225,00;35,83
WEBTRANSPORT;Transport Charges On Line Store;;05/01/2026;010-INV179112;ONLI001_WAD;0;100,00;1;100,00;0,00;100,00;100,00
60660#09;Glove Uvex Helix 2076 HPPE Steel Shell S09;;05/01/2026;010-INV179113;KIMB001_TVL;110;129,00;4;516,00;440,00;76,00;14,73
SOJD40/102;C/Suit Jacket Denim S/Orr AGP S40/102;;05/01/2026;010-INV179114;CONS004_TVL;296;466,00;5;2 331,55;1 480,00;851,55;36,52
SOJD34/87;C/Suit Jacket Denim S/Orr AGP S34/87 ;;05/01/2026;010-INV179114;CONS004_TVL;296;466,00;15;6 994,65;4 440,00;2 554,65;36,52
SOJD42/107;C/Suit Jacket Denim S/Orr AGP S42/107 ;;05/01/2026;010-INV179114;CONS004_TVL;296;466,00;10;4 663,10;2 960,00;1 703,10;36,52
SOJD38/97;C/Suit Jacket Denim S/Orr AGP S38/97 ;;05/01/2026;010-INV179114;CONS004_TVL;295,98;466,00;10;4 663,10;2 959,80;1 703,30;36,53
SOJJ54L36/92;C/SuIt Jacket J54 Ladies Navy S/Orr AGP S36/92;;05/01/2026;010-INV179114;CONS004_TVL;294;532,00;5;2 662,40;1 470,00;1 192,40;44,79
SOJJ54N46/117;C/Suit Jacket J54 Navy S/Orr AGP S46/117;;05/01/2026;010-INV179114;CONS004_TVL;248,99;416,00;5;2 079,40;1 244,95;834,45;40,13
SOJD52/132;C/Suit Jacket Denim S/Orr AGP S52/132 ;;05/01/2026;010-INV179114;CONS004_TVL;311;486,00;5;2 430,50;1 555,00;875,50;36,02
SIHEMB10-20;In House Embroidery 10-20;;05/01/2026;010-INV179114;CONS004_TVL;15;0,00;55;0,00;825,00;-825,00;0,00
SIHEMB20-30;In House Embroidery 20-30;;05/01/2026;010-INV179114;CONS004_TVL;25;0,00;55;0,00;1 375,00;-1 375,00;0,00
SIHSEWTAPEAGP;In House Sew Tape Ardagh;;05/01/2026;010-INV179114;CONS004_TVL;5;0,00;55;0,00;275,00;-275,00;0,00
SOTDREIN34/87;C/Suit Trouser Denim Reinf C/H S/Orr AGP S34/87;;05/01/2026;010-INV179114;CONS004_TVL;392,99;525,00;15;7 875,00;5 894,85;1 980,15;25,14
SOTDREIN32/82;C/Suit Trouser Denim Reinf C/H S/Orr AGP S32/82;;05/01/2026;010-INV179114;CONS004_TVL;393;525,00;5;2 625,00;1 965,00;660,00;25,14
SOTDREIN28/72;C/Suit Trouser Denim Reinf C/H S/Orr AGP S28/72;;05/01/2026;010-INV179114;CONS004_TVL;393;525,00;10;5 250,00;3 930,00;1 320,00;25,14
SOTDREIN42/107;C/Suit Trouser Denim Reinf C/H S/Orr AGP S42/107;;05/01/2026;010-INV179114;CONS004_TVL;393;525,00;5;2 625,00;1 965,00;660,00;25,14
SOTJ54L36/92;C/Suit Trouser J54 Ladies S/Orr AGP S36/92  ;;05/01/2026;010-INV179114;CONS004_TVL;222;319,00;5;1 595,55;1 110,00;485,55;30,43
SOTDREIN36/92;C/Suit Trouser Denim Reinf C/H S/Orr AGP S36/92;;05/01/2026;010-INV179114;CONS004_TVL;393;525,00;5;2 625,00;1 965,00;660,00;25,14
SOTDREIN30/77;C/Suit Trouser Denim Reinf C/H S/Orr AGP S30/77;;05/01/2026;010-INV179114;CONS004_TVL;392,76;525,00;5;2 625,00;1 963,80;661,20;25,19
SOTDREIN44/112;C/Suit Trouser Denim Reinf C/H S/Orr AGP S44/112;;05/01/2026;010-INV179114;CONS004_TVL;393;525,00;5;2 625,00;1 965,00;660,00;25,14
SEWTAPEA;Sewing On Reflective Tape 2 Arms or 2 Legs;;05/01/2026;010-INV179114;CONS004_TVL;12,22;0,00;55;0,00;672,10;-672,10;0,00
ECOMAXC;S/Spec Euro Ecomax Clear Anti Scratch  SS-1936BC;;05/01/2026;010-INV179115;KEVA001_WAD;8,8;14,00;10;140,00;88,00;52,00;37,14
M6200;3M6200 Facepiece Dual Medium XA007702658;;05/01/2026;010-INV179115;KEVA001_WAD;141,02;200,00;7;1 400,00;987,14;412,86;29,49
M6059;3M6059 ABEK1 Org/Inorg Vapour Acid Gas/Ammonia GT;;05/01/2026;010-INV179115;KEVA001_WAD;92,4;131,00;14;1 834,00;1 293,60;540,40;29,47
WRLZS;Reflective Vest EN4 Lime Zip & ID Pouch S;;05/01/2026;010-INV179115;KEVA001_WAD;22,95;35,00;2;70,00;45,90;24,10;34,43
WRLZM;Reflective Vest EN4 Lime Zip & ID Pouch M;;05/01/2026;010-INV179115;KEVA001_WAD;22,95;35,00;4;140,00;91,80;48,20;34,43
WRLZL;Reflective Vest EN4 Lime Zip & ID Pouch L;;05/01/2026;010-INV179115;KEVA001_WAD;22,95;35,00;3;105,00;68,85;36,15;34,43
ACL120X60;Apron Chrome Leather 120 X 60cm;;05/01/2026;010-INV179115;KEVA001_WAD;85;122,00;9;1 098,00;765,00;333,00;30,33
FX2-CB-S1P07;Safety Boot Rebel Chelsea STC SMS Black S07;;05/01/2026;010-INV179115;KEVA001_WAD;499,14;735,00;1;735,00;499,14;235,86;32,09
M6200;3M6200 Facepiece Dual Medium XA007702658;;05/01/2026;010-INV179116;CASH_010_001;141,02;205,00;1;205,00;141,02;63,98;31,21
M6055;3M6055 (6006) Organic Vapour Cart A2 GT500084048;;05/01/2026;010-INV179116;CASH_010_001;115,19;159,00;4;636,00;460,76;175,24;27,55
M5935;3M5935 PreFilter P3 20/Box TI551152356 Price Each;;05/01/2026;010-INV179116;CASH_010_001;22,64;32,00;8;260,00;181,12;78,88;30,34
M501;3M501 PreFilter Retainer 70071731957;;05/01/2026;010-INV179116;CASH_010_001;10,92;22,00;4;88,16;43,68;44,48;50,45
Sage 200 Evolution (Registered to Brian Pienaar North (Pty) Ltd);;;;;;;;;04/04/2026 18:43:19;;;
Sales Analysis Report;;;;;;;;;;Page 4 of 489;;
Item/Account;Description/Name;;TxDate;InvNum;Account;Unit Cost;Unit SellP;Quantity;Amount;Line Cost;Profit;GP %
;;;;;;;;;;;;
M6300;3M6300 Facepiece Dual Large XA007702674;;05/01/2026;010-INV179116;CASH_010_001;141,01;205,00;1;205,00;141,01;63,99;31,21
